install.time.total,
install.size.total,
start.time.managerWebpack,
start.time.previewWebpack,17000
start.time.managerRender,20043
start.time.previewRender,20853
build.time.build,27492
browse.time.managerRender,840
browse.time.previewRender,1455
browse.size.total,10031
browse.size.manager.total,2169
browse.size.manager.main,1
browse.size.manager.runtime,4
browse.size.manager.vendors,2164
browse.size.manager.uiDll,
browse.size.preview.total,4294
browse.size.preview.main,494
browse.size.preview.runtime,4
browse.size.preview.vendors,3796
browse.size.preview.docsDll,
